seed,p,ood_auroc,ood_auprc,error_spearman
42,0.1,0.9867968749999999,0.9807335025509388,-0.019081431758948494
42,0.2,0.9745052083333333,0.9612238979564882,-0.12055856599103743
42,0.3,0.9897916666666666,0.9862387368989707,-0.010529878311739446
43,0.1,0.905,0.8614554486006802,0.12284720529503308
43,0.2,0.8785416666666667,0.8335654416771322,0.15960906005662537
43,0.3,0.8817447916666667,0.841781214714852,0.16897436858980366
44,0.1,0.9773697916666666,0.9683723820701641,0.004410027562672266
44,0.2,0.90671875,0.8654484138793368,0.1493486209288808
44,0.3,0.9219010416666666,0.8908467605530535,0.10108563178519865
45,0.1,0.8444791666666667,0.8079004672618487,0.1870446065287908
45,0.2,0.8373958333333333,0.7992309555532107,0.1846663416646354
45,0.3,0.8392968749999999,0.7999355039788766,0.20966624791404945
46,0.1,0.8999999999999999,0.8565074261369371,0.13380346127163295
46,0.2,0.8524479166666665,0.8047478765396379,0.17242551515946974
46,0.3,0.8906770833333334,0.8417914107943875,0.14773067331670822
47,0.1,0.96234375,0.9437711399700958,-0.13863836648979055
47,0.2,0.9769791666666667,0.9618604670732769,-0.050401065006656295
47,0.3,0.9619531250000001,0.9433159947061502,0.03831567697298108
48,0.1,0.954609375,0.9306015410294963,0.06951849699060618
48,0.2,0.9603645833333334,0.9435288446004779,0.05360396002475015
48,0.3,0.9810677083333333,0.9727065183315835,0.02039900249376558
49,0.1,0.986015625,0.9801648556949946,-0.08965856036600228
49,0.2,0.9840885416666667,0.9775166507581586,-0.002664016650104063
49,0.3,0.9631249999999999,0.9447169046809563,0.056015412596328716
50,0.1,0.91171875,0.8782344502943839,0.12069431683948025
50,0.2,0.9236197916666666,0.8931266870475518,0.1102385014906343
50,0.3,0.910859375,0.8747597446274937,0.13053194082463015
51,0.1,0.9694791666666667,0.9545880043354296,0.036945980912380695
51,0.2,0.9169010416666665,0.8811081154661944,0.13547709673185457
51,0.3,0.9167708333333333,0.881331950389813,0.1332681454259089
